Round,Turnout Percent,Total Votes,Republican Votes,Republican Electoral Votes,Republican Vote Percent,Democrat Votes,Democrat Electoral Votes,Democrat Vote Percent,Independent Votes,Independent Electoral Votes,Independent Vote Percent
63,0.6381,114562374,54319866,281,0.4742,53120352,257,0.4637,7122156,0,0.0622
64,0.8792,157850706,88435726,380,0.5602,69414980,158,0.4398,0,0,0.0000
65,0.6161,110617367,58564131,358,0.5294,48916452,180,0.4422,3136784,0,0.0284
66,0.8746,157032991,80699046,314,0.5139,76217614,224,0.4854,116331,0,0.0007
67,0.8546,153448762,76296704,262,0.4972,76167070,276,0.4964,984988,0,0.0064
68,0.6477,116290278,58704677,314,0.5048,55452830,224,0.4768,2132771,0,0.0183
69,0.7112,127682616,54512239,166,0.4269,71133098,372,0.5571,2037279,0,0.0160
70,0.6017,108035951,54396342,262,0.5035,53639609,276,0.4965,0,0,0.0000
71,0.8057,144661299,63223681,193,0.4370,74143513,345,0.5125,7294105,0,0.0504
72,0.6305,113205678,60895489,354,0.5379,52310189,184,0.4621,0,0,0.0000
73,0.6865,123262102,61475316,354,0.4987,53394252,184,0.4332,8392534,0,0.0681
74,0.6414,115176802,63316895,358,0.5497,51781855,180,0.4496,78052,0,0.0007
75,0.8205,147321572,81173732,392,0.5510,61071428,146,0.4145,5076412,0,0.0345
76,0.6186,111064821,51546752,193,0.4641,59485009,345,0.5356,33060,0,0.0003
77,0.8006,143745893,72201899,262,0.5023,71032529,276,0.4942,511465,0,0.0036
78,0.6975,125219853,57327590,193,0.4578,65431626,345,0.5225,2460637,0,0.0197
79,0.8906,159910880,75399503,262,0.4715,74702429,276,0.4672,9808948,0,0.0613
80,0.6915,124158394,56309117,262,0.4535,59275958,276,0.4774,8573319,0,0.0691
81,0.8188,147010396,67950101,193,0.4622,78887710,345,0.5366,172585,0,0.0012
82,0.6160,110611008,51086624,193,0.4619,59507937,345,0.5380,16447,0,0.0001
