Round,Turnout Percent,Total Votes,Republican Votes,Republican Electoral Votes,Republican Vote Percent,Democrat Votes,Democrat Electoral Votes,Democrat Vote Percent,Independent Votes,Independent Electoral Votes,Independent Vote Percent
39,0.6253,112262770,47706022,166,0.4249,59808395,372,0.5328,4748353,0,0.0423
40,0.6892,123745213,64232733,339,0.5191,59512480,199,0.4809,0,0,0.0000
41,0.7052,126603233,63681741,314,0.5030,60048451,224,0.4743,2873041,0,0.0227
42,0.6778,121695647,58151455,262,0.4778,63485011,276,0.5217,59181,0,0.0005
43,0.7441,133597249,57885105,297,0.4333,55634375,241,0.4164,20077769,0,0.1503
44,0.8914,160048002,72837110,166,0.4551,86854305,372,0.5427,356587,0,0.0022
45,0.7188,129059705,61160327,262,0.4739,62299707,276,0.4827,5599671,0,0.0434
46,0.6936,124536138,58073391,339,0.4663,52465029,199,0.4213,13997718,0,0.1124
47,0.6976,125242258,50438699,92,0.4027,72303119,446,0.5773,2500440,0,0.0200
48,0.7359,132127355,61308543,193,0.4640,70818812,345,0.5360,0,0,0.0000
49,0.7561,135752843,68360552,262,0.5036,67262711,276,0.4955,129580,0,0.0010
50,0.6875,123432547,55226061,262,0.4474,58346323,276,0.4727,9860163,0,0.0799
51,0.7725,138701333,62788509,193,0.4527,72198315,345,0.5205,3714509,0,0.0268
52,0.8046,144465290,76028300,349,0.5263,68399054,189,0.4735,37936,0,0.0003
53,0.8472,152123725,71627502,193,0.4709,80464521,345,0.5289,31702,0,0.0002
54,0.6536,117353429,56054064,262,0.4777,57773562,276,0.4923,3525803,0,0.0300
55,0.6797,122032153,62001926,329,0.5081,57308080,209,0.4696,2722147,0,0.0223
56,0.6004,107782323,49494888,262,0.4592,50273005,276,0.4664,8014430,0,0.0744
57,0.8256,148237631,62573763,193,0.4221,71571940,345,0.4828,14091928,0,0.0951
58,0.8351,149939247,77971195,349,0.5200,71968052,189,0.4800,0,0,0.0000
59,0.7946,142675335,65967183,193,0.4624,76670754,345,0.5374,37398,0,0.0003
60,0.8673,155696943,76467005,262,0.4911,79209836,276,0.5087,20102,0,0.0001
61,0.6322,113524406,52730169,177,0.4645,60794237,361,0.5355,0,0,0.0000
62,0.8244,148030302,76578693,339,0.5173,70639878,199,0.4772,811731,0,0.0055
63,0.6381,114562374,54319866,281,0.4742,53120352,257,0.4637,7122156,0,0.0622
64,0.8792,157850706,88435726,380,0.5602,69414980,158,0.4398,0,0,0.0000
65,0.6161,110617367,58564131,358,0.5294,48916452,180,0.4422,3136784,0,0.0284
66,0.8746,157032991,80699046,314,0.5139,76217614,224,0.4854,116331,0,0.0007
67,0.8546,153448762,76296704,262,0.4972,76167070,276,0.4964,984988,0,0.0064
68,0.6477,116290278,58704677,314,0.5048,55452830,224,0.4768,2132771,0,0.0183
69,0.7112,127682616,54512239,166,0.4269,71133098,372,0.5571,2037279,0,0.0160
70,0.6017,108035951,54396342,262,0.5035,53639609,276,0.4965,0,0,0.0000
71,0.8057,144661299,63223681,193,0.4370,74143513,345,0.5125,7294105,0,0.0504
72,0.6305,113205678,60895489,354,0.5379,52310189,184,0.4621,0,0,0.0000
73,0.6865,123262102,61475316,354,0.4987,53394252,184,0.4332,8392534,0,0.0681
74,0.6414,115176802,63316895,358,0.5497,51781855,180,0.4496,78052,0,0.0007
75,0.8205,147321572,81173732,392,0.5510,61071428,146,0.4145,5076412,0,0.0345
76,0.6186,111064821,51546752,193,0.4641,59485009,345,0.5356,33060,0,0.0003
77,0.8006,143745893,72201899,262,0.5023,71032529,276,0.4942,511465,0,0.0036
78,0.6975,125219853,57327590,193,0.4578,65431626,345,0.5225,2460637,0,0.0197
79,0.8906,159910880,75399503,262,0.4715,74702429,276,0.4672,9808948,0,0.0613
80,0.6915,124158394,56309117,262,0.4535,59275958,276,0.4774,8573319,0,0.0691
81,0.8188,147010396,67950101,193,0.4622,78887710,345,0.5366,172585,0,0.0012
82,0.6160,110611008,51086624,193,0.4619,59507937,345,0.5380,16447,0,0.0001
83,0.6914,124152855,56396215,262,0.4542,62025244,276,0.4996,5731396,0,0.0462
84,0.6660,119571842,60979044,329,0.5100,56705357,209,0.4742,1887441,0,0.0158
85,0.7310,131260385,56968675,193,0.4340,67312520,345,0.5128,6979190,0,0.0532
86,0.7927,142316223,65650416,262,0.4613,64711683,276,0.4547,11954124,0,0.0840
87,0.6941,124615086,58708649,262,0.4711,62962762,276,0.5053,2943675,0,0.0236
88,0.7849,140927816,73159999,339,0.5191,67767817,199,0.4809,0,0,0.0000
89,0.8196,147157607,72396004,329,0.4920,67304498,209,0.4574,7457105,0,0.0507
90,0.7815,140318306,66502613,329,0.4739,60972823,209,0.4345,12842870,0,0.0915
91,0.8416,151109520,72023669,262,0.4766,78462740,276,0.5192,623111,0,0.0041
92,0.6844,122881419,52259966,166,0.4253,64279168,372,0.5231,6342285,0,0.0516
93,0.7105,127560402,60276722,226,0.4725,67108878,312,0.5261,174802,0,0.0014
94,0.6383,114621055,50273354,156,0.4386,64347701,382,0.5614,0,0,0.0000
95,0.6451,115818214,52633586,262,0.4544,57735759,276,0.4985,5448869,0,0.0470
96,0.7381,132518864,70946527,380,0.5354,54400564,158,0.4105,7171773,0,0.0541
97,0.6260,112395066,44161806,166,0.3929,58645483,372,0.5218,9587777,0,0.0853
98,0.8122,145834491,66918440,262,0.4589,70956294,276,0.4866,7959757,0,0.0546
99,0.7587,136217617,65152997,262,0.4783,70989374,276,0.5211,75246,0,0.0006
100,0.8704,156276255,71999554,262,0.4607,71395948,276,0.4569,12880753,0,0.0824
101,0.6968,125098228,63661368,358,0.5089,52413711,180,0.4190,9023149,0,0.0721
102,0.7378,132474481,64810700,281,0.4892,63323164,257,0.4780,4340617,0,0.0328
103,0.6634,119118714,57342243,262,0.4814,61774583,276,0.5186,1888,0,0.0000
104,0.7070,126941730,59131093,193,0.4658,67763463,345,0.5338,47174,0,0.0004
105,0.6528,117210457,61338947,349,0.5233,54240446,189,0.4628,1631064,0,0.0139
106,0.6232,111877592,54640313,281,0.4884,53344898,257,0.4768,3892381,0,0.0348
107,0.6316,113397020,51113065,193,0.4507,59913735,345,0.5284,2370220,0,0.0209
108,0.7575,136013239,58681762,166,0.4314,70385230,372,0.5175,6946247,0,0.0511
109,0.8003,143692538,70605073,262,0.4914,73069705,276,0.5085,17760,0,0.0001
110,0.6295,113019106,53750819,314,0.4756,50320707,224,0.4452,8947580,0,0.0792
111,0.8792,157853351,71376565,166,0.4522,86325194,372,0.5469,151592,0,0.0010
112,0.7763,139381106,70468470,358,0.5056,57774902,180,0.4145,11137734,0,0.0799
113,0.6427,115395887,53112143,262,0.4603,53101978,276,0.4602,9181766,0,0.0796
114,0.6332,113677738,52707984,193,0.4637,60802968,345,0.5349,166786,0,0.0015
115,0.8364,150173301,68704141,262,0.4575,72746674,276,0.4844,8722486,0,0.0581
116,0.7843,140813191,67275385,262,0.4778,73471253,276,0.5218,66553,0,0.0005
117,0.7545,135464781,69035070,310,0.5096,66315702,228,0.4895,114009,0,0.0008
118,0.6638,119184458,65299639,358,0.5479,52890205,180,0.4438,994614,0,0.0083
119,0.6633,119100539,61062980,314,0.5127,58008016,224,0.4871,29543,0,0.0002
120,0.8388,150604133,66595074,262,0.4422,71891094,276,0.4774,12117965,0,0.0805
121,0.8842,158750776,75642939,349,0.4765,67910307,189,0.4278,15197530,0,0.0957
122,0.7315,131334927,59730909,262,0.4548,59092945,276,0.4499,12511073,0,0.0953
123,0.8894,159688054,78545775,262,0.4919,81142279,276,0.5081,0,0,0.0000
124,0.6783,121776826,62872696,354,0.5163,54692454,184,0.4491,4211676,0,0.0346
125,0.8069,144878769,67033169,193,0.4627,76380279,345,0.5272,1465321,0,0.0101
126,0.7952,142781385,61924717,193,0.4337,71458940,345,0.5005,9397728,0,0.0658
127,0.6911,124079843,58500676,193,0.4715,65557308,345,0.5283,21859,0,0.0002
128,0.8969,161030561,82712982,314,0.5136,77942780,224,0.4840,374799,0,0.0023
129,0.7782,139714679,71706067,314,0.5132,67528436,224,0.4833,480176,0,0.0034
130,0.7935,142462105,61156345,166,0.4293,75715496,372,0.5315,5590264,0,0.0392
131,0.6039,108425219,51251385,297,0.4727,49221249,241,0.4540,7952585,0,0.0733
132,0.8862,159121838,67445178,193,0.4239,77430334,345,0.4866,14246326,0,0.0895
133,0.8911,159992748,77846605,262,0.4866,76327854,276,0.4771,5818289,0,0.0364
134,0.7698,138231013,58591531,262,0.4239,63889466,276,0.4622,15750016,0,0.1139
135,0.6063,108862263,58403836,380,0.5365,46100940,158,0.4235,4357487,0,0.0400
136,0.7252,130209912,64633672,287,0.4964,62883364,251,0.4829,2692876,0,0.0207
137,0.7372,132350895,54875585,96,0.4146,76930859,442,0.5813,544451,0,0.0041
138,0.7792,139897037,68398580,262,0.4889,71488624,276,0.5110,9833,0,0.0001
139,0.6871,123366928,63371997,358,0.5137,52580407,180,0.4262,7414524,0,0.0601
140,0.6555,117699266,54781465,262,0.4654,59396113,276,0.5046,3521688,0,0.0299
141,0.7269,130516957,61451594,349,0.4708,54635850,189,0.4186,14429513,0,0.1106
142,0.7520,135008326,58467539,193,0.4331,68768388,345,0.5094,7772399,0,0.0576
143,0.7037,126331482,66887222,349,0.5295,59435613,189,0.4705,8647,0,0.0001
144,0.8989,161398256,75708483,287,0.4691,73419589,251,0.4549,12270184,0,0.0760
145,0.7160,128551902,54090634,166,0.4208,65805140,372,0.5119,8656128,0,0.0673
146,0.7336,131724878,58514144,166,0.4442,72964202,372,0.5539,246532,0,0.0019
147,0.8331,149567451,66557479,193,0.4450,78395914,345,0.5242,4614058,0,0.0308
148,0.6689,120091789,49158315,193,0.4093,57878939,345,0.4820,13054535,0,0.1087
149,0.6870,123327532,64006300,358,0.5190,52894405,180,0.4289,6426827,0,0.0521
150,0.7650,137359776,62125185,262,0.4523,65230189,276,0.4749,10004402,0,0.0728
151,0.6526,117169385,60551679,358,0.5168,48587868,180,0.4147,8029838,0,0.0685
152,0.7183,128976673,63094975,262,0.4892,65867004,276,0.5107,14694,0,0.0001
153,0.8564,153775422,77906052,287,0.5066,75830433,251,0.4931,38937,0,0.0003
154,0.8395,150732591,67491388,166,0.4478,82924261,372,0.5501,316942,0,0.0021
155,0.7371,132347215,54207869,193,0.4096,62443415,345,0.4718,15695931,0,0.1186
156,0.6131,110084050,50270473,262,0.4567,52895066,276,0.4805,6918511,0,0.0628
157,0.7375,132414842,59159075,166,0.4468,73194484,372,0.5528,61283,0,0.0005
158,0.6670,119775534,56771820,310,0.4740,54374372,228,0.4540,8629342,0,0.0720
159,0.7255,130265398,71198517,358,0.5466,59066881,180,0.4534,0,0,0.0000
160,0.8282,148707290,76435796,339,0.5140,70658614,199,0.4752,1612880,0,0.0108
161,0.8470,152084181,75610965,262,0.4972,75772686,276,0.4982,700530,0,0.0046
162,0.6440,115608396,57451154,262,0.4969,56676391,276,0.4902,1480851,0,0.0128
163,0.8615,154682284,73271039,226,0.4737,81386856,312,0.5262,24389,0,0.0002
164,0.8143,146193688,70915853,262,0.4851,75256922,276,0.5148,20913,0,0.0001
165,0.8836,158639702,69022576,156,0.4351,89614896,382,0.5649,2230,0,0.0000
166,0.6486,116471737,50952973,166,0.4375,63853263,372,0.5482,1665501,0,0.0143
167,0.6261,112405063,54599646,262,0.4857,57805417,276,0.5143,0,0,0.0000
168,0.8796,157923895,76572793,262,0.4849,75830282,276,0.4802,5520820,0,0.0350
169,0.6745,121110797,58207916,358,0.4806,47427014,180,0.3916,15475867,0,0.1278
170,0.7918,142175479,57402520,156,0.4037,77092767,382,0.5422,7680192,0,0.0540
171,0.6118,109842257,49840499,166,0.4537,59937681,372,0.5457,64077,0,0.0006
172,0.8888,159583492,80205029,262,0.5026,79378463,276,0.4974,0,0,0.0000
173,0.6969,125132592,62341891,310,0.4982,59713893,228,0.4772,3076808,0,0.0246
174,0.8251,148160427,73963264,262,0.4992,74168197,276,0.5006,28966,0,0.0002
175,0.6845,122897732,53150904,193,0.4325,60859313,345,0.4952,8887515,0,0.0723
176,0.7013,125914571,61734583,329,0.4903,57029954,209,0.4529,7150034,0,0.0568
177,0.6438,115589831,49957073,166,0.4322,63717914,372,0.5512,1914844,0,0.0166
178,0.7871,141310973,73601930,354,0.5209,63224744,184,0.4474,4484299,0,0.0317
179,0.7684,137975803,66636100,262,0.4830,69623181,276,0.5046,1716522,0,0.0124
180,0.6230,111855204,55281679,262,0.4942,56542180,276,0.5055,31345,0,0.0003
181,0.7472,134168837,70595037,421,0.5262,50220342,117,0.3743,13353458,0,0.0995
182,0.6257,112337573,53619398,262,0.4773,58320205,276,0.5192,397970,0,0.0035
183,0.8606,154515951,71510389,262,0.4628,74208883,276,0.4803,8796679,0,0.0569
184,0.7459,133930429,65359978,262,0.4880,68570451,276,0.5120,0,0,0.0000
185,0.7603,136504642,67477690,349,0.4943,58774495,189,0.4306,10252457,0,0.0751
186,0.6774,121640859,58379354,262,0.4799,63261505,276,0.5201,0,0,0.0000
187,0.7182,128944787,57448226,166,0.4455,71342285,372,0.5533,154276,0,0.0012
188,0.8881,159457213,79857681,262,0.5008,79599532,276,0.4992,0,0,0.0000
189,0.7851,140956548,67530959,262,0.4791,69988222,276,0.4965,3437367,0,0.0244
190,0.7503,134727562,73480459,395,0.5454,54191471,143,0.4022,7055632,0,0.0524
191,0.7806,140151141,57364863,156,0.4093,76130185,382,0.5432,6656093,0,0.0475
192,0.6519,117046934,57263157,262,0.4892,59783777,276,0.5108,0,0,0.0000
193,0.7062,126798692,57546366,256,0.4538,63632126,282,0.5018,5620200,0,0.0443
194,0.8475,152168075,75623294,339,0.4970,69779282,199,0.4586,6765499,0,0.0445
195,0.8183,146927787,70162156,310,0.4775,66668034,228,0.4537,10097597,0,0.0687
196,0.6131,110094626,55214049,354,0.5015,47721056,184,0.4335,7159521,0,0.0650
197,0.7009,125850395,58774599,193,0.4670,67040046,345,0.5327,35750,0,0.0003
198,0.6177,110910882,50973323,310,0.4596,48492542,228,0.4372,11445017,0,0.1032
199,0.7569,135898426,57835187,166,0.4256,70709525,372,0.5203,7353714,0,0.0541
200,0.6606,118616921,56868694,262,0.4794,60915763,276,0.5136,832464,0,0.0070
201,0.7358,132110532,62653018,314,0.4742,58958022,224,0.4463,10499492,0,0.0795
202,0.7856,141048799,64570698,310,0.4578,61384612,228,0.4352,15093489,0,0.1070
203,0.8304,149096480,64782327,166,0.4345,82207321,372,0.5514,2106832,0,0.0141
204,0.6001,107745033,47475850,193,0.4406,55022067,345,0.5107,5247116,0,0.0487
205,0.6654,119465617,53380704,166,0.4468,64507220,372,0.5400,1577693,0,0.0132
206,0.8177,146807741,78058179,354,0.5317,68627909,184,0.4675,121653,0,0.0008
207,0.7491,134486591,61820261,166,0.4597,72666330,372,0.5403,0,0,0.0000
208,0.7942,142597607,70251237,281,0.4927,68538470,257,0.4806,3807900,0,0.0267
209,0.7070,126944120,63558079,262,0.5007,63386041,276,0.4993,0,0,0.0000
210,0.6170,110781115,59184139,354,0.5342,51575686,184,0.4656,21290,0,0.0002
211,0.6918,124203934,60220032,262,0.4848,63940755,276,0.5148,43147,0,0.0003
212,0.6916,124167877,50981811,166,0.4106,65577348,372,0.5281,7608718,0,0.0613
213,0.7598,136423142,70524070,354,0.5170,60153344,184,0.4409,5745728,0,0.0421
214,0.8232,147805581,65255366,262,0.4415,70358422,276,0.4760,12191793,0,0.0825
215,0.8439,151512852,63925861,166,0.4219,79965938,372,0.5278,7621053,0,0.0503
216,0.7877,141417937,77283226,358,0.5465,63803668,180,0.4512,331043,0,0.0023
217,0.7932,142407480,62551328,166,0.4392,75218191,372,0.5282,4637961,0,0.0326
218,0.8872,159295115,77742233,262,0.4880,81552882,276,0.5120,0,0,0.0000
219,0.8908,159948076,72659249,349,0.4543,62945175,189,0.3935,24343652,0,0.1522
220,0.7321,131443973,65322768,349,0.4970,58226730,189,0.4430,7894475,0,0.0601
221,0.7827,140520311,67763468,262,0.4822,69092221,276,0.4917,3664622,0,0.0261
222,0.8520,152980456,71102330,226,0.4648,79022573,312,0.5166,2855553,0,0.0187
223,0.6906,123997607,60357432,262,0.4868,63564443,276,0.5126,75732,0,0.0006
224,0.7837,140703982,61646616,226,0.4381,68663258,312,0.4880,10394108,0,0.0739
225,0.6176,110890271,54577193,262,0.4922,54796546,276,0.4942,1516532,0,0.0137
226,0.8726,156664901,66423050,262,0.4240,72336137,276,0.4617,17905714,0,0.1143
227,0.8705,156292327,86015324,380,0.5503,68134483,158,0.4359,2142520,0,0.0137
228,0.7688,138037502,73771879,358,0.5344,60157223,180,0.4358,4108400,0,0.0298
229,0.6568,117921528,56216251,226,0.4767,61705277,312,0.5233,0,0,0.0000
230,0.6180,110957711,56760832,314,0.5116,53796024,224,0.4848,400855,0,0.0036
231,0.6392,114759901,49588112,166,0.4321,64632233,372,0.5632,539556,0,0.0047
232,0.7632,137028775,70376090,354,0.5136,61363381,184,0.4478,5289304,0,0.0386
233,0.7090,127289363,59787650,297,0.4697,57341854,241,0.4505,10159859,0,0.0798
234,0.8637,155070340,78211366,262,0.5044,76840356,276,0.4955,18618,0,0.0001
235,0.8742,156964866,67168336,193,0.4279,77951510,345,0.4966,11845020,0,0.0755
236,0.6808,122225653,50662561,193,0.4145,57794881,345,0.4729,13768211,0,0.1126
237,0.8895,159695246,80392313,349,0.5034,72602034,189,0.4546,6700899,0,0.0420
238,0.7029,126208039,57688294,166,0.4571,68323998,372,0.5414,195747,0,0.0016
239,0.8674,155744318,80478387,354,0.5167,68464171,184,0.4396,6801760,0,0.0437
240,0.6316,113408420,58017044,314,0.5116,54900639,224,0.4841,490737,0,0.0043
241,0.8194,147131397,62174444,107,0.4226,84915356,431,0.5771,41597,0,0.0003
242,0.6783,121777525,53593584,193,0.4401,62748361,345,0.5153,5435580,0,0.0446
243,0.6843,122873408,68100015,421,0.5542,48711149,117,0.3964,6062244,0,0.0493
244,0.7344,131852330,61375299,349,0.4655,53835431,189,0.4083,16641600,0,0.1262
245,0.8532,153183390,67337359,166,0.4396,83774863,372,0.5469,2071168,0,0.0135
246,0.8349,149891440,73276896,262,0.4889,76614544,276,0.5111,0,0,0.0000
247,0.8497,152559787,66121277,156,0.4334,86424316,382,0.5665,14194,0,0.0001
248,0.6756,121304530,63147621,380,0.5206,47330823,158,0.3902,10826086,0,0.0892
249,0.6831,122638068,44780715,75,0.3651,70235562,463,0.5727,7621791,0,0.0621
250,0.8045,144442757,80505217,380,0.5574,63839008,158,0.4420,98532,0,0.0007
251,0.8497,152569593,79169934,349,0.5189,69987781,189,0.4587,3411878,0,0.0224
252,0.7040,126413298,51318732,166,0.4060,65852777,372,0.5209,9241789,0,0.0731
253,0.8724,156638652,75386672,287,0.4813,73018217,251,0.4662,8233763,0,0.0526
254,0.8970,161048222,85701835,354,0.5322,75311790,184,0.4676,34597,0,0.0002
255,0.6725,120752361,57428579,262,0.4756,60856852,276,0.5040,2466930,0,0.0204
256,0.6209,111478847,60723106,358,0.5447,50751455,180,0.4553,4286,0,0.0000
257,0.8477,152206969,69893881,166,0.4592,82213743,372,0.5401,99345,0,0.0007
258,0.8804,158081924,67468469,193,0.4268,76740635,345,0.4854,13872820,0,0.0878
259,0.8571,153880296,67508175,262,0.4387,73407375,276,0.4770,12964746,0,0.0843
260,0.6216,111619931,55337529,262,0.4958,55787847,276,0.4998,494555,0,0.0044
261,0.7499,134644270,63303507,262,0.4702,66546983,276,0.4942,4793780,0,0.0356
262,0.6560,117777948,55738466,314,0.4733,52183462,224,0.4431,9856020,0,0.0837
263,0.7074,127001012,63276282,329,0.4982,58244811,209,0.4586,5479919,0,0.0431
264,0.7423,133270379,61152930,166,0.4589,72078557,372,0.5408,38892,0,0.0003
265,0.7483,134354821,63870899,226,0.4754,70483922,312,0.5246,0,0,0.0000
266,0.8881,159450225,72336425,193,0.4537,82056922,345,0.5146,5056878,0,0.0317
267,0.8997,161548655,80332626,262,0.4973,80725600,276,0.4997,490429,0,0.0030
268,0.8432,151398603,77955387,329,0.5149,72839409,209,0.4811,603807,0,0.0040
269,0.7554,135622095,62324221,193,0.4595,72369616,345,0.5336,928258,0,0.0068
270,0.6644,119283034,50957620,166,0.4272,63451480,372,0.5319,4873934,0,0.0409
271,0.7133,128081872,57699610,262,0.4505,58898031,276,0.4598,11484231,0,0.0897
272,0.8061,144729549,59211149,193,0.4091,67642809,345,0.4674,17875591,0,0.1235
273,0.8656,155414579,75592100,354,0.4864,62740682,184,0.4037,17081797,0,0.1099
274,0.6504,116772282,55654458,262,0.4766,60770319,276,0.5204,347505,0,0.0030
275,0.6308,113271306,46352442,166,0.4092,59735326,372,0.5274,7183538,0,0.0634
276,0.6452,115832167,59245714,354,0.5115,50884087,184,0.4393,5702366,0,0.0492
277,0.6965,125050591,59795936,262,0.4782,59885720,276,0.4789,5368935,0,0.0429
278,0.8587,154179375,73538782,262,0.4770,80213658,276,0.5203,426935,0,0.0028
279,0.7785,139766411,67284181,262,0.4814,72364464,276,0.5178,117766,0,0.0008
280,0.6431,115472318,50910686,166,0.4409,64561632,372,0.5591,0,0,0.0000
281,0.8014,143890642,74263016,354,0.5161,64270901,184,0.4467,5356725,0,0.0372
282,0.7832,140634513,67604323,339,0.4807,61869157,199,0.4399,11161033,0,0.0794
283,0.8652,155341726,76409153,262,0.4919,78929997,276,0.5081,2576,0,0.0000
284,0.8273,148532512,73439294,262,0.4944,75093218,276,0.5056,0,0,0.0000
285,0.8815,158264333,73929636,310,0.4671,69831851,228,0.4412,14502846,0,0.0916
286,0.6368,114323379,48489187,166,0.4241,60750742,372,0.5314,5083450,0,0.0445
287,0.7114,127722708,61314540,310,0.4801,58375521,228,0.4570,8032647,0,0.0629
288,0.6146,110361037,49911709,262,0.4523,52800647,276,0.4784,7648681,0,0.0693
289,0.6644,119285578,51235370,166,0.4295,64430487,372,0.5401,3619721,0,0.0303
290,0.8830,158537979,78085954,262,0.4925,79006504,276,0.4983,1445521,0,0.0091
291,0.7755,139228660,61752976,262,0.4435,66421940,276,0.4771,11053744,0,0.0794
292,0.8127,145913587,59560743,193,0.4082,70454164,345,0.4828,15898680,0,0.1090
293,0.6647,119337508,61238218,314,0.5132,58099290,224,0.4868,0,0,0.0000
294,0.7700,138258034,58365297,166,0.4221,71623817,372,0.5180,8268920,0,0.0598
295,0.7975,143191454,64789760,349,0.4525,56737344,189,0.3962,21664350,0,0.1513
296,0.6358,114161800,51662695,329,0.4525,47230195,209,0.4137,15268910,0,0.1337
297,0.8467,152015122,66594193,262,0.4381,69453622,276,0.4569,15967307,0,0.1050
298,0.8119,145777974,63000561,166,0.4322,79879233,372,0.5480,2898180,0,0.0199
299,0.6698,120262495,54891827,166,0.4564,65156852,372,0.5418,213816,0,0.0018
300,0.6050,108631116,51233790,193,0.4716,57397326,345,0.5284,0,0,0.0000
301,0.8989,161388887,79672126,314,0.4937,75209713,224,0.4660,6507048,0,0.0403
302,0.7006,125785825,65373914,358,0.5197,52894142,180,0.4205,7517769,0,0.0598
303,0.6660,119573486,63897302,354,0.5344,55676184,184,0.4656,0,0,0.0000
304,0.6232,111913967,53528764,262,0.4783,58352679,276,0.5214,32524,0,0.0003
305,0.8149,146299654,70835269,262,0.4842,73221648,276,0.5005,2242737,0,0.0153
306,0.6065,108893923,53765232,349,0.4937,47813064,189,0.4391,7315627,0,0.0672
307,0.7021,126069054,56597558,193,0.4489,66586253,345,0.5282,2885243,0,0.0229
308,0.7364,132222888,67799664,314,0.5128,64190053,224,0.4855,233171,0,0.0018
309,0.8229,147739082,66419985,166,0.4496,81284666,372,0.5502,34431,0,0.0002
310,0.6129,110047025,50594074,262,0.4597,49744519,276,0.4520,9708432,0,0.0882
311,0.8113,145661051,71431825,262,0.4904,74167575,276,0.5092,61651,0,0.0004
312,0.7756,139256830,58339357,193,0.4189,66270245,345,0.4759,14647228,0,0.1052
313,0.7570,135923722,56764492,166,0.4176,68469743,372,0.5037,10689487,0,0.0786
314,0.6416,115199879,54096958,262,0.4696,57092834,276,0.4956,4010087,0,0.0348
315,0.8261,148322997,76449384,329,0.5154,71873613,209,0.4846,0,0,0.0000
316,0.6194,111224221,47281074,193,0.4251,54348813,345,0.4886,9594334,0,0.0863
317,0.8105,145527039,69440699,262,0.4772,68993458,276,0.4741,7092882,0,0.0487
