State,Total Votes,Republican Votes,Republican Vote Percent,Democrat Votes,Democrat Vote Percent,Independent Votes,Independent Vote Percent
Alabama,1940943.4991304348,1183479.4469565218,0.6095246376811595,695629.1802898551,0.35848927536231884,61834.87188405797,0.03198713043478261
Alaska,310561.48057971016,171880.9663768116,0.5532456231884058,120617.2463768116,0.3884688115942029,18063.267826086958,0.05828562318840579
Arizona,3031484.8915942027,1554634.5246376812,0.5126180289855072,1368928.1002898552,0.4516496811594203,107922.26666666666,0.03573257971014493
Arkansas,1068612.9988405798,634909.7901449276,0.593920695652174,390698.5228985507,0.36569843478260866,43004.68579710145,0.04038017391304348
California,14668352.44173913,5384115.955362319,0.366855768115942,8670363.378550725,0.5911555942028985,613873.1078260869,0.04198811594202899
Colorado,2482954.1304347827,1108929.724057971,0.4464071304347826,1266626.4052173912,0.5101995942028985,107398.0011594203,0.043392231884057976
Connecticut,1418727.1628985507,570494.1768115942,0.40191385507246374,798638.6771014492,0.5629966956521739,49594.30898550725,0.03509060869565218
Delaware,473865.94492753624,191448.28463768115,0.4038155362318841,265952.03942028986,0.561303304347826,16465.620869565217,0.034880753623188404
District of Columbia,336191.48173913045,22099.188985507248,0.06559472463768115,301271.19420289854,0.8961377391304348,12821.098550724637,0.0382688115942029
Florida,8310096.248115942,4158663.954202899,0.5002294492753623,3898356.671884058,0.4691926956521739,253075.6220289855,0.030578898550724636
Georgia,4316228.479420289,2221874.5020289854,0.5145625507246377,1959885.4446376811,0.45415582608695654,134468.53275362318,0.03127924637681159
Hawaii,569832.9733333334,188976.9820289855,0.3314432463768116,358685.8997101449,0.6295140869565218,22170.0915942029,0.03904173913043478
Idaho,828374.3634782608,526805.3489855073,0.635724927536232,259465.6643478261,0.3133137971014493,42103.350144927535,0.05095768115942029
Illinois,5023687.071304347,2021688.6614492754,0.4022289275362319,2819896.348405797,0.5613870724637681,182102.06144927535,0.036384057971014495
Indiana,2647726.105507246,1460103.1252173914,0.5512369855072463,1091938.1971014494,0.4124893333333333,95684.7831884058,0.03627356521739131
Iowa,1408456.1263768116,696398.5408695652,0.4942306086956522,657581.2417391305,0.4669562898550725,54476.34376811594,0.03881397101449275
Kansas,1247305.259710145,715579.6608695652,0.5734796521739131,481649.1368115942,0.38623484057971014,50076.46202898551,0.040284695652173914
Kentucky,1888957.1826086957,1137111.3623188406,0.6017588405797102,685812.8747826087,0.3631505507246377,66032.94550724638,0.03509095652173913
Louisiana,1505861.2875362318,864570.5826086956,0.5739194202898551,590391.1484057971,0.39214817391304346,50899.556521739134,0.033933217391304345
Maine,629896.2684057971,270422.8765217391,0.42910521739130436,332671.6272463768,0.528207884057971,26801.76463768116,0.042687826086956523
Maryland,2682920.3455072464,951998.2266666667,0.3546378550724638,1623849.9252173912,0.6053144927536231,107072.1936231884,0.040047304347826086
Massachusetts,2813251.652173913,979033.1171014493,0.34780910144927535,1718107.52,0.6107764057971015,116111.01507246376,0.04141246376811594
Michigan,4629709.174492754,2117950.699710145,0.45726278260869563,2346927.44115942,0.507,164831.0336231884,0.03573652173913043
Minnesota,2755370.6730434783,1241821.6486956521,0.45048110144927533,1395006.132173913,0.5063577971014493,118542.89217391305,0.043161565217391305
Mississippi,1252431.488115942,711891.875942029,0.5681959420289855,503253.3455072464,0.4019102608695652,37286.26666666667,0.029893623188405796
Missouri,2803024.7211594204,1512532.6968115943,0.5393910144927536,1192211.595942029,0.42541420289855075,98280.4284057971,0.03519420289855073
Montana,519285.7901449275,287727.19826086954,0.5538664347826087,207422.06550724639,0.39951646376811595,24136.526376811595,0.04661791304347826
Nebraska,748547.8991304347,442101.6411594203,0.5903899710144928,275727.7031884058,0.36843408695652174,30718.554782608695,0.041175826086956524
Nevada,1304478.1634782609,607182.3849275362,0.4652506086956522,645379.1147826087,0.49481426086956526,51916.66376811594,0.0399343768115942
New Hampshire,670913.784347826,308426.9982608696,0.4595058550724638,337584.8492753623,0.5032442898550725,24901.9368115942,0.03725142028985508
New Jersey,4017393.5344927534,1694761.4052173912,0.42165426086956526,2193430.0620289855,0.5460558260869565,129202.06724637681,0.03229060869565217
New Mexico,868658.0104347826,378574.96695652173,0.43560933333333335,448956.20579710143,0.5169100289855072,41126.83768115942,0.04748121739130435
New York,6947033.446956522,2608677.729275362,0.3753109565217391,4104994.026666667,0.5909656811594203,233361.69101449277,0.033723246376811594
North Carolina,3800566.5362318843,1908879.3420289855,0.5020540869565218,1768679.8747826086,0.4654506666666666,123007.31942028986,0.032495246376811594
North Dakota,340585.17913043476,207890.56347826088,0.610172115942029,116821.47710144927,0.34308544927536233,15873.138550724638,0.046742144927536235
Ohio,4960727.27942029,2486819.0550724636,0.5010912463768116,2305707.1060869563,0.46487026086956523,168201.11826086955,0.03403860869565217
Oklahoma,1590819.8695652173,1030439.387826087,0.6475193623188406,508075.7669565217,0.31947113043478265,52304.714782608695,0.03301078260869565
Oregon,2167256.72,897319.0533333333,0.4138328115942029,1160028.7107246376,0.5353213333333333,109908.95594202899,0.050845681159420286
Pennsylvania,5754709.582028986,2704350.4620289854,0.46972950724637685,2861756.979130435,0.49736707246376816,188602.14086956522,0.03290330434782609
Rhode Island,519289.8608695652,195322.15710144927,0.37592973913043476,302655.28289855074,0.5828899710144927,21312.420869565216,0.04118
South Carolina,2132091.823188406,1171301.3014492753,0.5491531014492753,887601.8701449275,0.41638753623188407,73188.6515942029,0.034459188405797106
South Dakota,363289.564057971,214113.8231884058,0.589152,134135.88579710145,0.3693138550724638,15039.855072463768,0.041534666666666664
Tennessee,3061537.1460869564,1802797.3431884057,0.5886352463768116,1154302.3507246377,0.3771206956521739,104437.45217391304,0.034244811594202895
Texas,10971030.451594204,6014083.137971015,0.5479644057971015,4591771.252173913,0.4186182608695652,365176.06144927535,0.033417275362318845
Utah,1400417.8614492754,861199.4144927536,0.6147572173913044,436415.3402898551,0.31173176811594205,102803.10666666667,0.07351344927536231
Vermont,315658.3049275362,101047.25333333333,0.31992121739130436,197671.74666666667,0.6262866086956521,16939.304927536232,0.05379333333333333
Virginia,3792518.276521739,1756442.428405797,0.46292585507246375,1897776.3924637681,0.5004730434782609,138299.4556521739,0.03660057971014493
Washington,3402893.736231884,1361125.148405797,0.3997873623188406,1876909.524057971,0.5516309565217391,164859.06376811594,0.048581449275362315
West Virginia,714856.3292753623,447866.05043478264,0.6262910724637681,240930.7756521739,0.3371198260869565,26059.503188405797,0.036589565217391304
Wisconsin,2548162.636521739,1185731.0457971015,0.4651201739130435,1268959.1049275363,0.49806347826086955,93472.48579710144,0.03681605797101449
Wyoming,231439.69043478262,157621.90550724638,0.6808225507246376,62402.07710144928,0.2697215652173913,11415.707826086957,0.0494568115942029
